PhotonEnergy_meV,Total_manning_prefactor_0,Total_manning_prefactor_0_5,Total_manning_prefactor_1,Total_manning_prefactor_1_5,Total_manning_prefactor_2,Optical_manning_prefactor_0,Optical_manning_prefactor_0_5,Optical_manning_prefactor_1,Optical_manning_prefactor_1_5,Optical_manning_prefactor_2,Piezoelectric_manning_prefactor_0,Piezoelectric_manning_prefactor_0_5,Piezoelectric_manning_prefactor_1,Piezoelectric_manning_prefactor_1_5,Piezoelectric_manning_prefactor_2
8.27,2.23524074741427e-07,4.40913338598112e-07,8.62663371692964e-07,1.63259635781737e-06,3.4876024549943e-06,1.95457322103094e-07,3.38026549691189e-07,7.08516931874663e-07,1.39858119249271e-06,3.12773704417374e-06,2.8066752638333e-08,1.02886788906924e-07,1.54146439818301e-07,2.34015165324662e-07,3.59865410820566e-07
8.28,2.23679288012278e-07,4.41258615591211e-07,8.63457787272174e-07,1.634566440741e-06,3.49355439409839e-06,1.95599572083976e-07,3.38322001714114e-07,7.09227626570291e-07,1.40040748218775e-06,3.13343652595383e-06,2.80797159283019e-08,1.02936613877098e-07,1.54230160701882e-07,2.34158958553251e-07,3.60117868144557e-07
8.29,2.23834665865804e-07,4.41604316282904e-07,8.64253388826048e-07,1.63654039245594e-06,3.4995228390002e-06,1.95741977400495e-07,3.38617841226512e-07,7.09939438750365e-07,1.4022375074434e-06,3.13915224606899e-06,2.80926884653093e-08,1.02986475056392e-07,1.54313950075683e-07,2.34302885012539e-07,3.60370592931214e-07
8.3,2.23990203606572e-07,4.41950441546759e-07,8.65050178819018e-07,1.63851822350353e-06,3.50550785276244e-06,1.95884538278882e-07,3.38914068906207e-07,7.10652370804294e-07,1.40407127863553e-06,3.14488426720152e-06,2.81056653276898e-08,1.03036372640552e-07,1.54397808014724e-07,2.34446944867994e-07,3.60623585560924e-07
8.31,2.24145915810453e-07,4.42296991986878e-07,8.65848159722059e-07,1.64049994446165e-06,3.51150949875282e-06,1.96027254945784e-07,3.39210685432507e-07,7.1136642512793e-07,1.40590880617631e-06,3.15063265233807e-06,2.81186608646688e-08,1.03086306554371e-07,1.54481734594129e-07,2.34591138285336e-07,3.6087684641475e-07
8.32,2.24301791018693e-07,4.42643968374866e-07,8.66647334012712e-07,1.64248556594492e-06,3.5175278406458e-06,1.96170127628258e-07,3.39507691486204e-07,7.12081604123587e-07,1.40775010051437e-06,3.15639746477137e-06,2.81316633904347e-08,1.03136276888662e-07,1.54565729889125e-07,2.34735465430549e-07,3.6113037587444e-07
8.33,2.24457842672566e-07,4.42991371428546e-07,8.67447704175104e-07,1.6444750986048e-06,3.52356294242445e-06,1.96313156553776e-07,3.39805087749582e-07,7.12797910200059e-07,1.40959517213492e-06,3.16217876810202e-06,2.81446861187901e-08,1.03186283678964e-07,1.54649793975045e-07,2.34879926469872e-07,3.61384174322427e-07
8.34,2.2461405338646e-07,4.4333920186728e-07,8.6824927269997e-07,1.64646855312978e-06,3.52961486838217e-06,1.96456341950225e-07,3.4010287490642e-07,7.13515345772648e-07,1.41144403155997e-06,3.16797662624034e-06,2.81577114362355e-08,1.0323632696086e-07,1.54733926927322e-07,2.35024521569809e-07,3.61638242141827e-07
8.35,2.24770424987518e-07,4.43687460411968e-07,8.69052042084673e-07,1.64846594024552e-06,3.53568368312456e-06,1.96599684045906e-07,3.40401053641994e-07,7.14233913263178e-07,1.41329668934841e-06,3.17379110340812e-06,2.8170740941612e-08,1.03286406769974e-07,1.54818128821495e-07,2.35169250897118e-07,3.61892579716444e-07
8.36,2.24926990376078e-07,4.44036147785061e-07,8.69856014833229e-07,1.65046727071503e-06,3.54176945157125e-06,1.96743183069537e-07,3.40699624643083e-07,7.14953615100023e-07,1.41515315609621e-06,3.17962226414048e-06,2.81838073065407e-08,1.03336523141978e-07,1.54902399733206e-07,2.35314114618821e-07,3.62147187430769e-07
